Loading C:\Editor Test\famidash\LEVELS\LEVEL DATA\lvlset_HUGE\clubstep.tmx...
Map: 906x40  tiles=36240  sprites=36240
Config: C:\Users\kando\Documents\Famidash Editor\clubstep.tmx.cfg (46 offsets, 0 anchors)
Start: (0, 577)  speed=1  maxFall=0x7  bias=0.50
[BFS] Starting exhaustive BFS exploration (frontier cap=30000)

[BFS] f=47 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê129px pct=0% ms/f=1.5
[BFS] f=48 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê132px pct=0% ms/f=1.4
[BFS] f=49 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê135px pct=0% ms/f=1.4
[BFS] f=50 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê138px pct=0% ms/f=1.4
[BFS] f=51 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê141px pct=0% ms/f=1.4
[BFS] f=52 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê143px pct=0% ms/f=1.3
  Progress: 0%   
[BFS] f=53 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê146px pct=1% ms/f=1.3
[BFS] f=54 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê149px pct=1% ms/f=1.3
[BFS] f=55 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê152px pct=1% ms/f=1.3
[BFS] f=56 front=20 dedup=20 deaths=0 Y=[542..577] mode=0 grav=N XΓëê154px pct=1% ms/f=1.3
[BFS] f=57 front=18 dedup=18 deaths=2 Y=[542..573] mode=0 grav=N XΓëê157px pct=1% ms/f=1.2
[BFS] f=58 front=17 dedup=17 deaths=2 Y=[542..568] mode=0 grav=N XΓëê160px pct=1% ms/f=1.2
[BFS] f=59 front=16 dedup=16 deaths=0 Y=[542..573] mode=0 grav=N XΓëê163px pct=1% ms/f=1.2
[BFS] f=60 front=15 dedup=15 deaths=2 Y=[542..568] mode=0 grav=N XΓëê165px pct=1% ms/f=1.2
[BFS] f=61 front=13 dedup=13 deaths=2 Y=[542..564] mode=0 grav=N XΓëê168px pct=1% ms/f=1.2
[BFS] f=62 front=12 dedup=12 deaths=2 Y=[542..560] mode=0 grav=N XΓëê171px pct=1% ms/f=1.1
