frame,worldX,worldY,X_screen,Y_screen,X_fixed,Y_fixed,VelX_fixed,VelY_fixed,scrollX,scrollY_linear,scrollY_raw,scrollY_subpx,gravity,mini,gamemode,cubedata,onGround,jblocked
53,356,881,80,154,0x5078,0x9A86,708,716,268,719,0x02EF,0,0,0,0,0x00,0,0
54,359,884,80,157,0x503C,0x9DBD,708,823,271,719,0x02EF,0,0,0,0,0x00,0,0
55,362,888,80,161,0x5000,0xA15F,708,930,274,719,0x02EF,0,0,0,0,0x00,0,0
56,364,892,80,165,0x50C4,0xA56C,708,1037,276,719,0x02EF,0,0,0,0,0x00,0,0
57,367,896,80,169,0x5088,0xA9E4,708,1144,279,719,0x02EF,0,0,0,0,0x00,0,0
58,370,901,80,174,0x504C,0xAEC7,708,1251,282,719,0x02EF,0,0,0,0,0x00,0,0
59,373,905,80,178,0x5010,0xB200,708,0,285,719,0x02EF,0,0,0,0,0x00,0,0
60,375,905,80,178,0x50D4,0xB200,708,0,287,719,0x02EF,0,0,0,0,0x00,0,0
61,378,905,80,178,0x5098,0xB200,708,0,290,719,0x02EF,0,0,0,0,0x00,0,0
62,381,905,80,178,0x505C,0xB200,708,0,293,719,0x02EF,0,0,0,0,0x00,0,0
63,384,905,80,178,0x5020,0xB200,708,0,296,719,0x02EF,0,0,0,0,0x00,0,0
64,386,905,80,178,0x50E4,0xB200,708,0,298,719,0x02EF,0,0,0,0,0x00,0,0
65,389,905,80,178,0x50A8,0xB200,708,0,301,719,0x02EF,0,0,0,0,0x00,0,0
66,392,905,80,178,0x506C,0xB200,708,0,304,719,0x02EF,0,0,0,0,0x00,0,0
67,395,905,80,178,0x5030,0xB200,708,0,307,719,0x02EF,0,0,0,0,0x00,0,0
68,397,905,80,178,0x50F4,0xB200,708,0,309,719,0x02EF,0,0,0,0,0x00,0,0
69,400,905,80,178,0x50B8,0xB200,708,0,312,719,0x02EF,0,0,0,0,0x00,0,0
70,403,905,80,178,0x507C,0xB200,708,0,315,719,0x02EF,0,0,0,0,0x00,0,0
71,406,905,80,178,0x5040,0xB200,708,0,318,719,0x02EF,0,0,0,0,0x00,0,0
72,409,905,80,178,0x5004,0xB200,708,0,321,719,0x02EF,0,0,0,0,0x00,0,0
73,411,905,80,178,0x50C8,0xB200,708,0,323,719,0x02EF,0,0,0,0,0x00,0,0
74,414,905,80,178,0x508C,0xB200,708,0,326,719,0x02EF,0,0,0,0,0x00,0,0
75,417,905,80,178,0x5050,0xB200,708,0,329,719,0x02EF,0,0,0,0,0x00,0,0
76,420,905,80,178,0x5014,0xB200,708,0,332,719,0x02EF,0,0,0,0,0x00,0,0
77,422,905,80,178,0x50D8,0xB200,708,0,334,719,0x02EF,0,0,0,0,0x00,0,0
78,425,905,80,178,0x509C,0xB200,708,0,337,719,0x02EF,0,0,0,0,0x00,0,0
79,428,905,80,178,0x5060,0xB200,708,0,340,719,0x02EF,0,0,0,0,0x00,0,0
80,431,905,80,178,0x5024,0xB200,708,0,343,719,0x02EF,0,0,0,0,0x00,0,0
81,433,905,80,178,0x50E8,0xB200,708,0,345,719,0x02EF,0,0,0,0,0x00,0,0
82,436,905,80,178,0x50AC,0xB200,708,0,348,719,0x02EF,0,0,0,0,0x00,0,0
83,439,905,80,178,0x5070,0xB200,708,0,351,719,0x02EF,0,0,0,0,0x00,0,0
84,442,905,80,178,0x5034,0xB200,708,0,354,719,0x02EF,0,0,0,0,0x00,0,0
85,444,905,80,178,0x50F8,0xB200,708,0,356,719,0x02EF,0,0,0,0,0x00,0,0
86,447,905,80,178,0x50BC,0xB200,708,0,359,719,0x02EF,0,0,0,0,0x00,0,0
87,450,905,80,178,0x5080,0xB200,708,0,362,719,0x02EF,0,0,0,0,0x00,0,0
88,453,905,80,178,0x5044,0xB200,708,0,365,719,0x02EF,0,0,0,0,0x00,0,0
89,456,905,80,178,0x5008,0xB200,708,0,368,719,0x02EF,0,0,0,0,0x00,0,0
90,458,905,80,178,0x50CC,0xB200,708,0,370,719,0x02EF,0,0,0,0,0x00,0,0
91,461,905,80,178,0x5090,0xB200,708,0,373,719,0x02EF,0,0,0,0,0x00,0,0
92,464,905,80,178,0x5054,0xB200,708,0,376,719,0x02EF,0,0,0,0,0x00,0,0
93,467,905,80,178,0x5018,0xB200,708,0,379,719,0x02EF,0,0,0,0,0x00,0,0
94,469,905,80,178,0x50DC,0xB200,708,0,381,719,0x02EF,0,0,0,0,0x00,0,0
95,472,905,80,178,0x50A0,0xB200,708,0,384,719,0x02EF,0,0,0,0,0x00,0,0
96,475,905,80,178,0x5064,0xB200,708,0,387,719,0x02EF,0,0,0,0,0x00,0,0
97,478,905,80,178,0x5028,0xB200,708,0,390,719,0x02EF,0,0,0,0,0x00,0,0
98,480,905,80,178,0x50EC,0xB200,708,0,392,719,0x02EF,0,0,0,0,0x00,0,0
99,483,905,80,178,0x50B0,0xB200,708,0,395,719,0x02EF,0,0,0,0,0x00,0,0
100,486,905,80,178,0x5074,0xB200,708,0,398,719,0x02EF,0,0,0,0,0x00,0,0
101,489,905,80,178,0x5038,0xB200,708,0,401,719,0x02EF,0,0,0,0,0x00,0,0
102,491,905,80,178,0x50FC,0xB200,708,0,403,719,0x02EF,0,0,0,0,0x00,0,0
103,494,905,80,178,0x50C0,0xB200,708,0,406,719,0x02EF,0,0,0,0,0x00,0,0
104,497,905,80,178,0x5084,0xB200,708,0,409,719,0x02EF,0,0,0,0,0x00,0,0
105,500,905,80,178,0x5048,0xB200,708,0,412,719,0x02EF,0,0,0,0,0x00,0,0
106,503,905,80,178,0x500C,0xB200,708,0,415,719,0x02EF,0,0,0,0,0x00,0,0
107,505,905,80,178,0x50D0,0xB200,708,0,417,719,0x02EF,0,0,0,0,0x00,0,0
108,508,905,80,178,0x5094,0xB200,708,0,420,719,0x02EF,0,0,0,0,0x00,0,0
109,511,905,80,178,0x5058,0xB200,708,0,423,719,0x02EF,0,0,0,0,0x00,0,0
110,514,905,80,178,0x501C,0xB200,708,0,426,719,0x02EF,0,0,0,0,0x00,0,0
111,516,905,80,178,0x50E0,0xB200,708,0,428,719,0x02EF,0,0,0,0,0x00,0,0
112,519,905,80,178,0x50A4,0xB200,708,0,431,719,0x02EF,0,0,0,0,0x00,0,0
113,522,905,80,178,0x5068,0xB200,708,0,434,719,0x02EF,0,0,0,0,0x00,0,0
114,525,905,80,178,0x502C,0xB200,708,0,437,719,0x02EF,0,0,0,0,0x00,0,0
115,527,905,80,178,0x50F0,0xB200,708,0,439,719,0x02EF,0,0,0,0,0x00,0,0
116,530,905,80,178,0x50B4,0xB200,708,0,442,719,0x02EF,0,0,0,0,0x00,0,0
117,533,905,80,178,0x5078,0xB200,708,0,445,719,0x02EF,0,0,0,0,0x00,0,0
118,536,905,80,178,0x503C,0xB200,708,0,448,719,0x02EF,0,0,0,0,0x00,0,0
119,539,905,80,178,0x5000,0xB200,708,0,451,719,0x02EF,0,0,0,0,0x00,0,0
120,541,905,80,178,0x50C4,0xB200,708,0,453,719,0x02EF,0,0,0,0,0x00,0,0
121,544,905,80,178,0x5088,0xB200,708,0,456,719,0x02EF,0,0,0,0,0x00,0,0
122,547,905,80,178,0x504C,0xB200,708,0,459,719,0x02EF,0,0,0,0,0x00,0,0
