frame,X_fixed,Y_fixed,VelY_fixed,VelX_fixed,X_px,Y_px,gravity,mini,gamemode,onGround
90,0x502C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
91,0x50F0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
92,0x50B4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
93,0x5078,0xB200,0x0000,0x02C4,80,178,0,0,0,1
94,0x503C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
95,0x5000,0xB200,0x0000,0x02C4,80,178,0,0,0,1
96,0x50C4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
97,0x5088,0xB200,0x0000,0x02C4,80,178,0,0,0,1
98,0x504C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
99,0x5010,0xB200,0x0000,0x02C4,80,178,0,0,0,1
100,0x50D4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
101,0x5098,0xB200,0x0000,0x02C4,80,178,0,0,0,1
102,0x505C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
103,0x5020,0xB200,0x0000,0x02C4,80,178,0,0,0,1
104,0x50E4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
105,0x50A8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
106,0x506C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
107,0x5030,0xB200,0x0000,0x02C4,80,178,0,0,0,1
108,0x50F4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
109,0x50B8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
110,0x507C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
111,0x5040,0xB200,0x0000,0x02C4,80,178,0,0,0,1
112,0x5004,0xB200,0x0000,0x02C4,80,178,0,0,0,1
113,0x50C8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
114,0x508C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
115,0x5050,0xB200,0x0000,0x02C4,80,178,0,0,0,1
116,0x5014,0xB200,0x0000,0x02C4,80,178,0,0,0,1
117,0x50D8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
118,0x509C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
119,0x5060,0xB200,0x0000,0x02C4,80,178,0,0,0,1
120,0x5024,0xB200,0x0000,0x02C4,80,178,0,0,0,1
121,0x50E8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
122,0x50AC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
123,0x5070,0xB200,0x0000,0x02C4,80,178,0,0,0,1
124,0x5034,0xB200,0x0000,0x02C4,80,178,0,0,0,1
125,0x50F8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
126,0x50BC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
127,0x5080,0xB200,0x0000,0x02C4,80,178,0,0,0,1
128,0x5044,0xB200,0x0000,0x02C4,80,178,0,0,0,1
129,0x5008,0xB200,0x0000,0x02C4,80,178,0,0,0,1
130,0x50CC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
131,0x5090,0xB200,0xFA70,0x02C4,80,178,0,0,0,0
132,0x5054,0xACDB,0xFADB,0x02C4,80,172,0,0,0,0
133,0x5018,0xA821,0xFB46,0x02C4,80,168,0,0,0,0
134,0x50DC,0xA3D2,0xFBB1,0x02C4,80,163,0,0,0,0
135,0x50A0,0x9FEE,0xFC1C,0x02C4,80,159,0,0,0,0
136,0x5064,0x9C75,0xFC87,0x02C4,80,156,0,0,0,0
137,0x5028,0x9967,0xFCF2,0x02C4,80,153,0,0,0,0
138,0x50EC,0x96C4,0xFD5D,0x02C4,80,150,0,0,0,0
139,0x50B0,0x948C,0xFDC8,0x02C4,80,148,0,0,0,0
140,0x5074,0x92BF,0xFE33,0x02C4,80,146,0,0,0,0
141,0x5038,0x915D,0xFE9E,0x02C4,80,145,0,0,0,0
142,0x50FC,0x9066,0xFF09,0x02C4,80,144,0,0,0,0
143,0x50C0,0x8FDA,0xFF74,0x02C4,80,143,0,0,0,0
144,0x5084,0x8FB9,0xFFDF,0x02C4,80,143,0,0,0,0
145,0x5048,0x9003,0x004A,0x02C4,80,144,0,0,0,0
146,0x500C,0x90B8,0x00B5,0x02C4,80,144,0,0,0,0
147,0x50D0,0x91D8,0x0120,0x02C4,80,145,0,0,0,0
148,0x5094,0x9363,0x018B,0x02C4,80,147,0,0,0,0
149,0x5058,0x9559,0x01F6,0x02C4,80,149,0,0,0,0
150,0x501C,0x97BA,0x0261,0x02C4,80,151,0,0,0,0
151,0x50E0,0x9A86,0x02CC,0x02C4,80,154,0,0,0,0
152,0x50A4,0x9DBD,0x0337,0x02C4,80,157,0,0,0,0
153,0x5068,0xA15F,0x03A2,0x02C4,80,161,0,0,0,0
154,0x502C,0xA56C,0x040D,0x02C4,80,165,0,0,0,0
155,0x50F0,0xA9E4,0x0478,0x02C4,80,169,0,0,0,0
156,0x50B4,0xAEC7,0x04E3,0x02C4,80,174,0,0,0,0
157,0x5078,0xB200,0x0000,0x02C4,80,178,0,0,0,1
158,0x503C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
159,0x5000,0xB200,0x0000,0x02C4,80,178,0,0,0,1
160,0x50C4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
161,0x5088,0xB200,0x0000,0x02C4,80,178,0,0,0,1
162,0x504C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
163,0x5010,0xB200,0x0000,0x02C4,80,178,0,0,0,1
164,0x50D4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
165,0x5098,0xB200,0x0000,0x02C4,80,178,0,0,0,1
166,0x505C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
167,0x5020,0xB200,0x0000,0x02C4,80,178,0,0,0,1
168,0x50E4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
169,0x50A8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
170,0x506C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
171,0x5030,0xB200,0x0000,0x02C4,80,178,0,0,0,1
172,0x50F4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
173,0x50B8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
174,0x507C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
175,0x5040,0xB200,0x0000,0x02C4,80,178,0,0,0,1
176,0x5004,0xB200,0x0000,0x02C4,80,178,0,0,0,1
177,0x50C8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
178,0x508C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
179,0x5050,0xB200,0x0000,0x02C4,80,178,0,0,0,1
180,0x5014,0xB200,0x0000,0x02C4,80,178,0,0,0,1
181,0x50D8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
182,0x509C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
183,0x5060,0xB200,0x0000,0x02C4,80,178,0,0,0,1
184,0x5024,0xB200,0x0000,0x02C4,80,178,0,0,0,1
185,0x50E8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
186,0x50AC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
187,0x5070,0xB200,0x0000,0x02C4,80,178,0,0,0,1
188,0x5034,0xB200,0x0000,0x02C4,80,178,0,0,0,1
189,0x50F8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
190,0x50BC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
191,0x5080,0xB200,0x0000,0x02C4,80,178,0,0,0,1
192,0x5044,0xB200,0x0000,0x02C4,80,178,0,0,0,1
193,0x5008,0xB200,0x0000,0x02C4,80,178,0,0,0,1
194,0x50CC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
195,0x5090,0xB200,0x0000,0x02C4,80,178,0,0,0,1
196,0x5054,0xB200,0x0000,0x02C4,80,178,0,0,0,1
197,0x5018,0xB200,0x0000,0x02C4,80,178,0,0,0,1
198,0x50DC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
199,0x50A0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
200,0x5064,0xB200,0x0000,0x02C4,80,178,0,0,0,1
201,0x5028,0xB200,0x0000,0x02C4,80,178,0,0,0,1
202,0x50EC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
203,0x50B0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
204,0x5074,0xB200,0x0000,0x02C4,80,178,0,0,0,1
205,0x5038,0xB200,0x0000,0x02C4,80,178,0,0,0,1
206,0x50FC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
