[PF f=82] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=83] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=84] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=85] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=86] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=87] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=88] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=89] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=90] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=91] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=92] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=93] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=94] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=95] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=96] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=97] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=98] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=99] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=100] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=101] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=102] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=103] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=104] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=105] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=106] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=107] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=108] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=109] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=110] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=111] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=112] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=113] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=114] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=115] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=116] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=117] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=118] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=119] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=120] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=121] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=122] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=123] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=124] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=125] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=126] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
