sim |  NES_y NES_vy | PF_y PF_vy onG mode mini | dy dvy  CHG
 677 |   377      0 |  377      0 1 0 0 |  +0    +0  CHG (was 1605)
 708 |   377      0 |  377  -1424 0 0 0 |  +0 +1424  CHG (was 0)
 709 |   377  -1424 |  371  -1317 0 0 0 |  +6  -107  CHG (was 1424)
 734 |   373   1251 |  377      0 1 0 0 |  -4 +1251  CHG (was -107)
 735 |   377      0 |  377      0 1 0 0 |  +0    +0  CHG (was 1251)
 758 |   377      0 |  377  -1424 0 0 0 |  +0 +1424  CHG (was 0)
 759 |   377  -1424 |  371  -1317 0 0 0 |  +6  -107  CHG (was 1424)
 784 |   373   1251 |  377      0 1 0 0 |  -4 +1251  CHG (was -107)
 785 |   377      0 |  377      0 1 0 0 |  +0    +0  CHG (was 1251)
 796 |   377      0 |  369  -1877 0 0 0 |  +8 +1877  CHG (was 0)
 797 |   369  -1877 |  362  -1770 0 0 0 |  +7  -107  CHG (was 1877)
 802 |   339  -1342 |  336   -600 0 2 0 |  +3  -742  CHG (was -107)
 803 |   336   -600 |  334   -529 0 2 0 |  +2   -71  CHG (was -742)
 814 |   329    181 |  328      0 1 2 0 |  +1  +181  CHG (was -71)
 815 |   328      0 |  328      0 1 2 0 |  +0    +0  CHG (was 181)
 865 |   328      0 |  324   -999 0 2 0 |  +4  +999  CHG (was 0)
 866 |   324   -999 |  320  -1070 0 2 0 |  +4   +71  CHG (was 999)
 868 |   315  -1141 |  312      0 1 2 0 |  +3 -1141  CHG (was 71)
 869 |   312      0 |  312      0 1 2 0 |  +0    +0  CHG (was -1141)
 870 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was 0)
 871 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 872 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 874 |   312   -142 |  312      0 1 2 0 |  +0  -142  CHG (was 71)
 875 |   312      0 |  312      0 1 2 0 |  +0    +0  CHG (was -142)
 876 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was 0)
 878 |   312   -142 |  312      0 1 2 0 |  +0  -142  CHG (was 71)
 879 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -142)
 880 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 881 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 882 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 883 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 884 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 885 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 886 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 887 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 889 |   312   -142 |  312      0 1 2 0 |  +0  -142  CHG (was 71)
 890 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -142)
 891 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 892 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 893 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 894 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 895 |   312    -71 |  312      0 1 2 0 |  +0   -71  CHG (was 71)
 896 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -71)
 898 |   312   -142 |  312      0 1 2 0 |  +0  -142  CHG (was 71)
 899 |   312      0 |  312      0 1 2 0 |  +0    +0  CHG (was -142)
 900 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was 0)
 902 |   312   -142 |  312      0 1 2 0 |  +0  -142  CHG (was 71)
 903 |   312      0 |  312      0 1 2 0 |  +0    +0  CHG (was -142)
 904 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was 0)
 906 |   312   -142 |  312      0 1 2 0 |  +0  -142  CHG (was 71)
 907 |   312      0 |  312    -71 0 2 0 |  +0   +71  CHG (was -142)
 908 |   312    -71 |  312    512 0 2 0 |  +0  -583  CHG (was 71)
 909 |   312    512 |  314    583 0 2 0 |  -2   -71  CHG (was -583)
 918 |   342   1151 |  344   -512 0 2 0 |  -2 +1663  CHG (was -71)
 919 |   344   -512 |  342   -583 0 2 0 |  +2   +71  CHG (was 1663)
 928 |   314  -1151 |  312    512 0 2 0 |  +2 -1663  CHG (was 71)
 929 |   312    512 |  314    583 0 2 0 |  -2   -71  CHG (was -1663)
 938 |   342   1151 |  344      0 1 2 0 |  -2 +1151  CHG (was -71)
 939 |   344      0 |  344      0 1 2 0 |  +0    +0  CHG (was 1151)
 946 |   344      0 |  339  -1193 0 2 0 |  +5 +1193  CHG (was 0)
 947 |   339  -1193 |  335  -1122 0 2 0 |  +4   -71  CHG (was 1193)
 977 |   329    937 |  330    397 0 2 0 |  -1  +540  CHG (was -71)
 978 |   330    397 |  331    326 0 2 0 |  -1   +71  CHG (was 540)
1005 |   267  -1520 |  264      0 1 2 0 |  +3 -1520  CHG (was 71)
1006 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -1520)
1007 |   264    -71 |  264      0 1 2 0 |  +0   -71  CHG (was 71)
1008 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -71)
1009 |   264    -71 |  264      0 1 2 0 |  +0   -71  CHG (was 71)
1010 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -71)
1012 |   264   -142 |  264      0 1 2 0 |  +0  -142  CHG (was 71)
1013 |   264      0 |  264      0 1 2 0 |  +0    +0  CHG (was -142)
1014 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was 0)
1016 |   264   -142 |  264      0 1 2 0 |  +0  -142  CHG (was 71)
1017 |   264      0 |  264      0 1 2 0 |  +0    +0  CHG (was -142)
1018 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was 0)
1020 |   264   -142 |  264      0 1 2 0 |  +0  -142  CHG (was 71)
1021 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -142)
1022 |   264    -71 |  264      0 1 2 0 |  +0   -71  CHG (was 71)
1023 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -71)
1024 |   264    -71 |  264      0 1 2 0 |  +0   -71  CHG (was 71)
1025 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -71)
1026 |   264    -71 |  264    512 0 2 0 |  +0  -583  CHG (was 71)
1027 |   264    512 |  264      0 1 2 0 |  +0  +512  CHG (was -583)
1028 |   264      0 |  264      0 1 2 0 |  +0    +0  CHG (was 512)
1031 |   264      0 |  264   -512 0 2 0 |  +0  +512  CHG (was 0)
1032 |   264   -512 |  264      0 1 2 0 |  +0  -512  CHG (was 512)
1033 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -512)
1035 |   264   -142 |  264    512 0 2 0 |  +0  -654  CHG (was 71)
1036 |   264    512 |  264      0 1 2 0 |  +0  +512  CHG (was -654)
1037 |   264      0 |  264      0 1 2 0 |  +0    +0  CHG (was 512)
1040 |   264      0 |  264   -512 0 2 0 |  +0  +512  CHG (was 0)
1041 |   264   -512 |  264      0 1 2 0 |  +0  -512  CHG (was 512)
1042 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -512)
1043 |   264    -71 |  264      0 1 2 0 |  +0   -71  CHG (was 71)
1044 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -71)
1045 |   264    -71 |  264      0 1 2 0 |  +0   -71  CHG (was 71)
1046 |   264      0 |  264    -71 0 2 0 |  +0   +71  CHG (was -71)
1047 |   264    -71 |  264    512 0 2 0 |  +0  -583  CHG (was 71)
1048 |   264    512 |  264      0 1 2 0 |  +0  +512  CHG (was -583)
1050 |   264   -512 |  264      0 1 2 0 |  +0  -512  CHG (was 512)
1052 |   264    512 |  267    583 0 2 0 |  -3   -71  CHG (was -512)
1061 |   295   1151 |  296      0 1 2 0 |  -1 +1151  CHG (was -71)
1062 |   296      0 |  296      0 1 2 0 |  +0    +0  CHG (was 1151)
1120 |   296      0 |  296     71 0 2 0 |  +0   -71  CHG (was 0)
1138 |   343   1278 |  344      0 1 2 0 |  -1 +1278  CHG (was -71)
1139 |   344      0 |  344      0 1 2 0 |  +0    +0  CHG (was 1278)
1156 |   344      0 |  344   -512 0 2 0 |  +0  +512  CHG (was 0)
1157 |   344   -512 |  342   -583 0 2 0 |  +2   +71  CHG (was 512)
1162 |   330   -867 |  328    512 0 2 0 |  +2 -1379  CHG (was 71)
1163 |   328    512 |  330    583 0 2 0 |  -2   -71  CHG (was -1379)
1175 |   373   1364 |  376      0 1 2 0 |  -3 +1364  CHG (was -71)
1176 |   376      0 |  376   -512 0 2 0 |  +0  +512  CHG (was 1364)
1177 |   376   -512 |  374   -583 0 2 0 |  +2   +71  CHG (was 512)
1189 |   330  -1364 |  328      0 1 2 0 |  +2 -1364  CHG (was 71)
1190 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -1364)
1191 |   328    -71 |  328    512 0 2 0 |  +0  -583  CHG (was 71)
1192 |   328    512 |  330    583 0 2 0 |  -2   -71  CHG (was -583)
1204 |   374   1364 |  376      0 1 2 0 |  -2 +1364  CHG (was -71)
1205 |   376      0 |  376   -512 0 2 0 |  +0  +512  CHG (was 1364)
1206 |   376   -512 |  373   -583 0 2 0 |  +3   +71  CHG (was 512)
1221 |   312  -1577 |  306  -1506 0 2 0 |  +6   -71  CHG (was 71)
1222 |   306  -1506 |  300  -1577 0 2 0 |  +6   +71  CHG (was -71)
1223 |   300  -1577 |  296      0 1 2 0 |  +4 -1577  CHG (was 71)
1224 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -1577)
1225 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1226 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1228 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1229 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -142)
1230 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1231 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1232 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1233 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1234 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1235 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1237 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1238 |   296      0 |  296      0 1 2 0 |  +0    +0  CHG (was -142)
1239 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was 0)
1241 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
