sim |  NES_y NES_vy | PF_y PF_vy onG mode mini | dy dvy  CHG
1670 |   303    717 |  306    751 0 1 0 |  -3   -34  CHG (was 52)
1674 |   316    853 |  319    801 0 1 0 |  -3   +52  CHG (was -34)
1690 |   341     21 |  342     55 0 1 0 |  -1   -34  CHG (was 52)
1691 |   342     55 |  342      3 0 1 0 |  +0   +52  CHG (was -34)
1693 |   341    -49 |  341    -91 0 1 0 |  +0   +42  CHG (was 52)
1695 |   340   -133 |  340    -83 0 1 0 |  +0   -50  CHG (was 42)
1696 |   340    -83 |  340   -125 0 1 0 |  +0   +42  CHG (was -50)
1701 |   336   -293 |  335   -243 0 1 0 |  +1   -50  CHG (was 42)
1702 |   335   -243 |  334   -285 0 1 0 |  +1   +42  CHG (was -50)
1703 |   334   -285 |  333   -235 0 1 0 |  +1   -50  CHG (was 42)
1705 |   332   -185 |  331   -227 0 1 0 |  +1   +42  CHG (was -50)
1709 |   328   -353 |  327   -303 0 1 0 |  +1   -50  CHG (was 42)
1711 |   326   -253 |  324   -295 0 1 0 |  +2   +42  CHG (was -50)
1716 |   318   -463 |  317   -413 0 1 0 |  +1   -50  CHG (was 42)
1719 |   314   -313 |  313   -355 0 1 0 |  +1   +42  CHG (was -50)
1725 |   303   -565 |  301   -515 0 1 0 |  +2   -50  CHG (was 42)
1726 |   301   -515 |  299   -557 0 1 0 |  +2   +42  CHG (was -50)
1727 |   299   -557 |  297   -507 0 1 0 |  +2   -50  CHG (was 42)
1729 |   295   -457 |  293   -499 0 1 0 |  +2   +42  CHG (was -50)
1734 |   284   -667 |  281   -617 0 1 0 |  +3   -50  CHG (was 42)
1748 |   268     33 |  268     67 0 1 0 |  +0   -34  CHG (was -50)
1772 |   311    849 |  314    873 0 1 0 |  -3   -24  CHG (was -34)
1773 |   314    873 |  318    873 0 1 0 |  -4    +0  CHG (was -24)
1781 |   343    873 |  345      0 0 1 0 |  -2  +873  CHG (was 0)
1782 |   345      0 |  345      0 0 1 0 |  +0    +0  CHG (was 873)
1795 |   345      0 |  345     50 0 1 0 |  +0   -50  CHG (was 0)
1796 |   345     50 |  345     84 0 1 0 |  +0   -34  CHG (was -50)
1809 |   360    492 |  361      0 0 1 0 |  -1  +492  CHG (was -34)
1810 |   361      0 |  361      0 0 1 0 |  +0    +0  CHG (was 492)
1852 |   361      0 |  361    -42 0 1 0 |  +0   +42  CHG (was 0)
1877 |   307  -1050 |  303  -1091 0 1 0 |  +4   +41  CHG (was 42)
1878 |   303  -1091 |  299  -1091 0 1 0 |  +4    +0  CHG (was 41)
1879 |   299  -1091 |  295  -1041 0 1 0 |  +4   -50  CHG (was 0)
1880 |   295  -1041 |  290  -1083 0 1 0 |  +5   +42  CHG (was -50)
1881 |   290  -1083 |  286  -1091 0 1 0 |  +4    +8  CHG (was 42)
1882 |   286  -1091 |  282  -1041 0 1 0 |  +4   -50  CHG (was 8)
1883 |   282  -1041 |  278  -1083 0 1 0 |  +4   +42  CHG (was -50)
1884 |   278  -1083 |  274  -1033 0 1 0 |  +4   -50  CHG (was 42)
1887 |   266   -933 |  262   -975 0 1 0 |  +4   +42  CHG (was -50)
1890 |   254  -1059 |  250  -1091 0 1 0 |  +4   +32  CHG (was 42)
1891 |   250  -1091 |  246      0 0 1 0 |  +4 -1091  CHG (was 32)
1892 |   246      0 |  246     50 0 1 0 |  +0   -50  CHG (was -1091)
1893 |   246     50 |  246     84 0 1 0 |  +0   -34  CHG (was -50)
1894 |   246     84 |  247     32 0 1 0 |  -1   +52  CHG (was -34)
1896 |   247    -20 |  246    -62 0 1 0 |  +1   +42  CHG (was 52)
1897 |   246    -62 |  246    -12 0 1 0 |  +0   -50  CHG (was 42)
1899 |   246     38 |  247     72 0 1 0 |  -1   -34  CHG (was -50)
1901 |   247    106 |  247     54 0 1 0 |  +0   +52  CHG (was -34)
1904 |   247    -50 |  247      0 0 1 0 |  +0   -50  CHG (was 52)
1906 |   247     50 |  247     -2 0 1 0 |  +0   +52  CHG (was -50)
1907 |   247     -2 |  247    -44 0 1 0 |  +0   +42  CHG (was 52)
1908 |   247    -44 |  247      6 0 1 0 |  +0   -50  CHG (was 42)
1909 |   247      6 |  247     40 0 1 0 |  +0   -34  CHG (was -50)
1910 |   247     40 |  247    -12 0 1 0 |  +0   +52  CHG (was -34)
1911 |   247    -12 |  247     38 0 1 0 |  +0   -50  CHG (was 52)
1912 |   247     38 |  247    -14 0 1 0 |  +0   +52  CHG (was -50)
1913 |   247    -14 |  247    -56 0 1 0 |  +0   +42  CHG (was 52)
1914 |   247    -56 |  247     -6 0 1 0 |  +0   -50  CHG (was 42)
1916 |   247     44 |  247     -8 0 1 0 |  +0   +52  CHG (was -50)
1917 |   247     -8 |  247     42 0 1 0 |  +0   -50  CHG (was 52)
1918 |   247     42 |  248     76 0 1 0 |  -1   -34  CHG (was -50)
1920 |   248    110 |  248     58 0 1 0 |  +0   +52  CHG (was -34)
1922 |   248      6 |  249     40 0 1 0 |  -1   -34  CHG (was 52)
1930 |   253    278 |  254    226 0 1 0 |  -1   +52  CHG (was -34)
1934 |   256     70 |  256    104 0 1 0 |  +0   -34  CHG (was 52)
1935 |   256    104 |  256     52 0 1 0 |  +0   +52  CHG (was -34)
1937 |   256      0 |  256     50 0 1 0 |  +0   -50  CHG (was 52)
1938 |   256     50 |  256     -2 0 1 0 |  +0   +52  CHG (was -50)
1939 |   256     -2 |  257     48 0 1 0 |  -1   -50  CHG (was 52)
1940 |   257     48 |  257     82 0 1 0 |  +0   -34  CHG (was -50)
1947 |   262    286 |  263    234 0 1 0 |  -1   +52  CHG (was -34)
1950 |   264    130 |  264    164 0 1 0 |  +0   -34  CHG (was 52)
1954 |   267    266 |  268    214 0 1 0 |  -1   +52  CHG (was -34)
1957 |   269    110 |  270    144 0 1 0 |  -1   -34  CHG (was 52)
1958 |   270    144 |  270     92 0 1 0 |  +0   +52  CHG (was -34)
1960 |   270     40 |  270     74 0 1 0 |  +0   -34  CHG (was 52)
1961 |   270     74 |  271     22 0 1 0 |  -1   +52  CHG (was -34)
1963 |   270    -30 |  271     20 0 1 0 |  -1   -50  CHG (was 52)
1964 |   271     20 |  270    -32 0 1 0 |  +1   +52  CHG (was -50)
1965 |   270    -32 |  270    -74 0 1 0 |  +0   +42  CHG (was 52)
1967 |   270   -116 |  269    -66 0 1 0 |  +1   -50  CHG (was 42)
1969 |   269    -16 |  269    -58 0 1 0 |  +0   +42  CHG (was -50)
1971 |   269   -100 |  269    -50 0 1 0 |  +0   -50  CHG (was 42)
1974 |   269     50 |  269     84 0 1 0 |  +0   -34  CHG (was -50)
1975 |   269     84 |  269     32 0 1 0 |  +0   +52  CHG (was -34)
1976 |   269     32 |  269     66 0 1 0 |  +0   -34  CHG (was 52)
1977 |   269     66 |  269     14 0 1 0 |  +0   +52  CHG (was -34)
1979 |   269    -38 |  269     12 0 1 0 |  +0   -50  CHG (was 52)
1980 |   269     12 |  270     46 0 1 0 |  -1   -34  CHG (was -50)
1982 |   270     80 |  270     28 0 1 0 |  +0   +52  CHG (was -34)
1983 |   270     28 |  270     62 0 1 0 |  +0   -34  CHG (was 52)
2007 |   312    844 |  316    873 0 1 0 |  -4   -29  CHG (was -34)
2008 |   316    873 |  319    873 0 1 0 |  -3    +0  CHG (was -29)
2011 |   326    873 |  330    821 0 1 0 |  -4   +52  CHG (was 0)
2014 |   336    717 |  338    751 0 1 0 |  -2   -34  CHG (was 52)
2018 |   348    853 |  352    873 0 1 0 |  -4   -20  CHG (was -34)
2019 |   352    873 |  355    873 0 1 0 |  -3    +0  CHG (was -20)
2020 |   355    873 |  358    821 0 1 0 |  -3   +52  CHG (was 0)
2021 |   358    821 |  361      0 0 1 0 |  -3  +821  CHG (was 52)
2022 |   361      0 |  360    -42 0 1 0 |  +1   +42  CHG (was 821)
2027 |   358   -210 |  358   -160 0 1 0 |  +0   -50  CHG (was 42)
2029 |   357   -110 |  356   -152 0 1 0 |  +1   +42  CHG (was -50)
2030 |   356   -152 |  356   -102 0 1 0 |  +0   -50  CHG (was 42)
2031 |   356   -102 |  356   -144 0 1 0 |  +0   +42  CHG (was -50)
2034 |   354   -228 |  353   -178 0 1 0 |  +1   -50  CHG (was 42)
2038 |   352    -28 |  352    -70 0 1 0 |  +0   +42  CHG (was -50)
2041 |   351   -154 |  351   -104 0 1 0 |  +0   -50  CHG (was 42)
2045 |   351     46 |  351     80 0 1 0 |  +0   -34  CHG (was -50)
2048 |   352    148 |  352     96 0 1 0 |  +0   +52  CHG (was -34)
2049 |   352     96 |  353    130 0 1 0 |  -1   -34  CHG (was 52)
2050 |   353    130 |  353     78 0 1 0 |  +0   +52  CHG (was -34)
2051 |   353     78 |  353    112 0 1 0 |  +0   -34  CHG (was 52)
2052 |   353    112 |  354     60 0 1 0 |  -1   +52  CHG (was -34)
2054 |   354      8 |  354     42 0 1 0 |  +0   -34  CHG (was 52)
2056 |   354     76 |  354     24 0 1 0 |  +0   +52  CHG (was -34)
2058 |   354    -28 |  354    -70 0 1 0 |  +0   +42  CHG (was 52)
2062 |   352   -196 |  352   -146 0 1 0 |  +0   -50  CHG (was 42)
2063 |   352   -146 |  351   -188 0 1 0 |  +1   +42  CHG (was -50)
2070 |   343   -440 |  341   -390 0 1 0 |  +2   -50  CHG (was 42)
2071 |   341   -390 |  340   -432 0 1 0 |  +1   +42  CHG (was -50)
2072 |   340   -432 |  338   -382 0 1 0 |  +2   -50  CHG (was 42)
2074 |   337   -332 |  336   -374 0 1 0 |  +1   +42  CHG (was -50)
2079 |   328   -542 |  326   -492 0 1 0 |  +2   -50  CHG (was 42)
2081 |   324   -442 |  322   -484 0 1 0 |  +2   +42  CHG (was -50)
2087 |   311   -694 |  308   -644 0 1 0 |  +3   -50  CHG (was 42)
2091 |   302   -494 |  300   -536 0 1 0 |  +2   +42  CHG (was -50)
2093 |   297   -578 |  295   -528 0 1 0 |  +2   -50  CHG (was 42)
2094 |   295   -528 |  293   -570 0 1 0 |  +2   +42  CHG (was -50)
2097 |   288   -654 |  286   -604 0 1 0 |  +2   -50  CHG (was 42)
2104 |   276   -304 |  274   -346 0 1 0 |  +2   +42  CHG (was -50)
2110 |   265   -556 |  263   -506 0 1 0 |  +2   -50  CHG (was 42)
2122 |   254     44 |  255     78 0 1 0 |  -1   -34  CHG (was -50)
2125 |   256    146 |  256     94 0 1 0 |  +0   +52  CHG (was -34)
2128 |   256    -10 |  256     40 0 1 0 |  +0   -50  CHG (was 52)
2129 |   256     40 |  257     74 0 1 0 |  -1   -34  CHG (was -50)
2133 |   258    176 |  259    124 0 1 0 |  -1   +52  CHG (was -34)
2134 |   259    124 |  259    158 0 1 0 |  +0   -34  CHG (was 52)
2136 |   260    192 |  261    140 0 1 0 |  -1   +52  CHG (was -34)
2138 |   261     88 |  261    122 0 1 0 |  +0   -34  CHG (was 52)
2141 |   263    190 |  263    138 0 1 0 |  +0   +52  CHG (was -34)
2142 |   263    138 |  264    172 0 1 0 |  -1   -34  CHG (was 52)
2148 |   269    342 |  270    290 0 1 0 |  -1   +52  CHG (was -34)
2150 |   271    238 |  272    272 0 1 0 |  -1   -34  CHG (was 52)
2151 |   272    272 |  273    220 0 1 0 |  -1   +52  CHG (was -34)
2153 |   274    168 |  275    202 0 1 0 |  -1   -34  CHG (was 52)
2161 |   284    440 |  286    388 0 1 0 |  -2   +52  CHG (was -34)
2163 |   287    336 |  288    370 0 1 0 |  -1   -34  CHG (was 52)
2164 |   288    370 |  290    318 0 1 0 |  -2   +52  CHG (was -34)
2165 |   290    318 |  291    352 0 1 0 |  -1   -34  CHG (was 52)
2167 |   292    386 |  294    334 0 1 0 |  -2   +52  CHG (was -34)
2173 |   297     74 |  298    108 0 1 0 |  -1   -34  CHG (was 52)
2176 |   299    176 |  299    124 0 1 0 |  +0   +52  CHG (was -34)
2179 |   300     20 |  300     54 0 1 0 |  +0   -34  CHG (was 52)
2180 |   300     54 |  300      2 0 1 0 |  +0   +52  CHG (was -34)
2181 |   300      2 |  300     36 0 1 0 |  +0   -34  CHG (was 52)
2182 |   300     36 |  300    -16 0 1 0 |  +0   +52  CHG (was -34)
2183 |   300    -16 |  300    -58 0 1 0 |  +0   +42  CHG (was 52)
2184 |   300    -58 |  300     -8 0 1 0 |  +0   -50  CHG (was 42)
2186 |   300     42 |  300     76 0 1 0 |  +0   -34  CHG (was -50)
2210 |   344    858 |  347    873 0 1 0 |  -3   -15  CHG (was -34)
2211 |   347    873 |  351    873 0 1 0 |  -4    +0  CHG (was -15)
2216 |   365    873 |  365   -285 0 1 0 |  +0 +1158  CHG (was 0)
2217 |   365   -285 |  364   -285 0 1 0 |  +1    +0  CHG (was 1158)
2219 |   363   -285 |  362   -235 0 1 0 |  +1   -50  CHG (was 0)
2225 |   360     15 |  360     49 0 1 0 |  +0   -34  CHG (was -50)
2226 |   360     49 |  361      0 0 1 0 |  -1   +49  CHG (was -34)
2227 |   361      0 |  361      0 0 1 0 |  +0    +0  CHG (was 49)
2341 |   361      0 |  361    -42 0 1 0 |  +0   +42  CHG (was 0)
2346 |   358   -210 |  358   -160 0 1 0 |  +0   -50  CHG (was 42)
2348 |   357   -110 |  357   -152 0 1 0 |  +0   +42  CHG (was -50)
2349 |   357   -152 |  356   -102 0 1 0 |  +1   -50  CHG (was 42)
2353 |   356     48 |  356     -4 0 1 0 |  +0   +52  CHG (was -50)
2354 |   356     -4 |  356    -46 0 1 0 |  +0   +42  CHG (was 52)
2357 |   355   -130 |  355    -80 0 1 0 |  +0   -50  CHG (was 42)
2359 |   355    -30 |  354    -72 0 1 0 |  +1   +42  CHG (was -50)
2365 |   351   -282 |  350   -232 0 1 0 |  +1   -50  CHG (was 42)
2368 |   348   -132 |  348   -174 0 1 0 |  +0   +42  CHG (was -50)
2376 |   338   -468 |  337   -418 0 1 0 |  +1   -50  CHG (was 42)
2378 |   335   -368 |  334   -410 0 1 0 |  +1   +42  CHG (was -50)
2390 |   305   -872 |  303   -386 0 3 0 |  +2  -486  CHG (was 42)
2391 |   303   -386 |  301   -336 0 3 0 |  +2   -50  CHG (was -486)
2416 |   327    864 |  330    814 0 3 1 |  -3   +50  CHG (was -50)
2417 |   330    814 |  333    864 0 3 1 |  -3   -50  CHG (was 50)
2418 |   333    864 |  336    814 0 3 1 |  -3   +50  CHG (was -50)
2419 |   336    814 |  340    864 0 3 1 |  -4   -50  CHG (was 50)
2420 |   340    864 |  343    814 0 3 1 |  -3   +50  CHG (was -50)
2421 |   343    814 |  346   -720 0 3 1 |  -3 +1534  CHG (was 50)
2422 |   346   -720 |  344   -670 0 3 1 |  +2   -50  CHG (was 1534)
2450 |   347    680 |  350   -720 0 3 1 |  -3 +1400  CHG (was -50)
2451 |   350   -720 |  347   -670 0 3 1 |  +3   -50  CHG (was 1400)
2479 |   350    680 |  353   -720 0 3 1 |  -3 +1400  CHG (was -50)
2480 |   353   -720 |  350   -670 0 3 1 |  +3   -50  CHG (was 1400)
2509 |   356    730 |  360   -720 0 3 1 |  -4 +1450  CHG (was -50)
2510 |   360   -720 |  357   -670 0 3 1 |  +3   -50  CHG (was 1450)
2525 |   341     30 |  341   -720 0 3 1 |  +0  +750  CHG (was -50)
2526 |   341   -720 |  338   -670 0 3 1 |  +3   -50  CHG (was 750)
2533 |   327   -370 |  326   -720 0 3 1 |  +1  +350  CHG (was -50)
2534 |   326   -720 |  323   -670 0 3 1 |  +3   -50  CHG (was 350)
2560 |   321   -708 |  324   -720 0 3 1 |  -3   +12  CHG (was -50)
2561 |   318   -720 |  321   -670 0 3 1 |  -3   -50  CHG (was 12)
2585 |   310    480 |  317   -720 0 3 1 |  -7 +1200  CHG (was -50)
2586 |   312   -720 |  314   -670 0 3 1 |  -2   -50  CHG (was 1200)
2589 |   304   -570 |  307   -720 0 3 1 |  -3  +150  CHG (was -50)
2590 |   302   -720 |  305   -670 0 3 1 |  -3   -50  CHG (was 150)
2622 |   315    880 |  324    830 0 3 1 |  -9   +50  CHG (was -50)
2623 |   319    830 |  327    880 0 3 1 |  -8   -50  CHG (was 50)
2624 |   322    880 |  330    830 0 3 1 |  -8   +50  CHG (was -50)
2625 |   325    830 |  334    880 0 3 1 |  -9   -50  CHG (was 50)
2626 |   329    880 |  337   -720 0 3 1 |  -8 +1600  CHG (was -50)
2627 |   332   -720 |  334   -670 0 3 1 |  -2   -50  CHG (was 1600)
2630 |   325   -570 |  328   -720 0 3 1 |  -3  +150  CHG (was -50)
2631 |   323   -720 |  325   -670 0 3 1 |  -2   -50  CHG (was 150)
2663 |   336    880 |  344    830 0 3 1 |  -8   +50  CHG (was -50)
2664 |   339    830 |  348    880 0 3 1 |  -9   -50  CHG (was 50)
2665 |   343    880 |  351    830 0 3 1 |  -8   +50  CHG (was -50)
2666 |   346    830 |  354   -720 0 3 1 |  -8 +1550  CHG (was 50)
2667 |   349   -720 |  352   -670 0 3 1 |  -3   -50  CHG (was 1550)
2689 |   337    380 |  344   -720 0 3 1 |  -7 +1100  CHG (was -50)
2690 |   338   -720 |  341   -670 0 3 1 |  -3   -50  CHG (was 1100)
2720 |   345    780 |  353   -720 0 3 1 |  -8 +1500  CHG (was -50)
2721 |   348   -720 |  351   -670 0 3 1 |  -3   -50  CHG (was 1500)
2722 |   346   -670 |  348   -720 0 3 1 |  -2   +50  CHG (was -50)
2723 |   343   -720 |  346   -670 0 3 1 |  -3   -50  CHG (was 50)
2750 |   341    630 |  349      0 0 3 1 |  -8  +630  CHG (was -50)
2754 |   353    830 |  349      0 0 3 1 |  +4  +830  CHG (was 630)
2755 |   349      0 |  344   -708 0 3 1 |  +5  +708  CHG (was 830)
2756 |   344   -708 |  341   -658 0 3 1 |  +3   -50  CHG (was 708)
2757 |   342   -708 |  339   -608 0 3 1 |  +3  -100  CHG (was -50)
2758 |   339   -658 |  337   -708 0 3 1 |  +2   +50  CHG (was -100)
2759 |   337   -708 |  334   -708 0 3 1 |  +3    +0  CHG (was 50)
2761 |   331   -708 |  328   -658 0 3 1 |  +3   -50  CHG (was 0)
2762 |   328   -658 |  326   -708 0 3 1 |  +2   +50  CHG (was -50)
2763 |   326   -708 |  323   -708 0 3 1 |  +3    +0  CHG (was 50)
2765 |   320   -708 |  318   -658 0 3 1 |  +2   -50  CHG (was 0)
2768 |   313   -558 |  311   -720 0 3 1 |  +2  +162  CHG (was -50)
2769 |   311   -720 |  309   -670 0 3 1 |  +2   -50  CHG (was 162)
2789 |   295    280 |  297   -720 0 3 1 |  -2 +1000  CHG (was -50)
2790 |   297   -720 |  295   -670 0 3 1 |  +2   -50  CHG (was 1000)
2803 |   278    -70 |  279   -720 0 3 1 |  -1  +650  CHG (was -50)
2804 |   278   -720 |  276   -670 0 3 1 |  +2   -50  CHG (was 650)
2830 |   273    580 |  276   -720 0 3 1 |  -3 +1300  CHG (was -50)
2831 |   276   -720 |  274   -670 0 3 1 |  +2   -50  CHG (was 1300)
2856 |   269    530 |  272   -720 0 3 1 |  -3 +1250  CHG (was -50)
2857 |   271   -720 |  269   -670 0 3 1 |  +2   -50  CHG (was 1250)
2886 |   274    730 |  277   -720 0 3 1 |  -3 +1450  CHG (was -50)
2887 |   277   -720 |  275   -670 0 3 1 |  +2   -50  CHG (was 1450)
2913 |   272    580 |  275   -720 0 3 1 |  -3 +1300  CHG (was -50)
2914 |   274   -720 |  273   -670 0 3 1 |  +1   -50  CHG (was 1300)
2942 |   275    680 |  277   -720 0 3 1 |  -2 +1400  CHG (was -50)
2943 |   277   -720 |  274   -670 0 3 1 |  +3   -50  CHG (was 1400)
2969 |   272    580 |  275   -720 0 3 1 |  -3 +1300  CHG (was -50)
2970 |   275   -720 |  272   -670 0 3 1 |  +3   -50  CHG (was 1300)
2971 |   272   -670 |  269   -720 0 3 1 |  +3   +50  CHG (was -50)
2972 |   270   -720 |  267   -670 0 3 1 |  +3   -50  CHG (was 50)
2987 |   251     30 |  251   -720 0 3 1 |  +0  +750  CHG (was -50)
2988 |   251   -720 |  248   -670 0 3 1 |  +3   -50  CHG (was 750)
2999 |   233   -170 |  233   -720 0 3 1 |  +0  +550  CHG (was -50)
3000 |   233   -720 |  230   -670 0 3 1 |  +3   -50  CHG (was 550)
3001 |   230   -670 |  227   -720 0 3 1 |  +3   +50  CHG (was -50)
3002 |   228   -720 |  225   -670 0 3 1 |  +3   -50  CHG (was 50)
3025 |   217    430 |  219   -720 0 3 1 |  -2 +1150  CHG (was -50)
3026 |   219   -720 |  216   -670 0 3 1 |  +3   -50  CHG (was 1150)
3052 |   214    580 |  216   -720 0 3 1 |  -2 +1300  CHG (was -50)
3053 |   217   -720 |  214   -670 0 3 1 |  +3   -50  CHG (was 1300)
3085 |   230    880 |  233    830 0 3 1 |  -3   +50  CHG (was -50)
3086 |   233    830 |  236    880 0 3 1 |  -3   -50  CHG (was 50)
3087 |   236    880 |  240    830 0 3 1 |  -4   +50  CHG (was -50)
3088 |   240    830 |  243    880 0 3 1 |  -3   -50  CHG (was 50)
3089 |   243    880 |  246    830 0 3 1 |  -3   +50  CHG (was -50)
3090 |   246    830 |  250    880 0 3 1 |  -4   -50  CHG (was 50)
3091 |   250    880 |  253    830 0 3 1 |  -3   +50  CHG (was -50)
3092 |   253    830 |  256    880 0 3 1 |  -3   -50  CHG (was 50)
3093 |   257    880 |  260    830 0 3 1 |  -3   +50  CHG (was -50)
3094 |   260    830 |  263    880 0 3 1 |  -3   -50  CHG (was 50)
3095 |   263    880 |  266    830 0 3 1 |  -3   +50  CHG (was -50)
3096 |   266    830 |  270    880 0 3 1 |  -4   -50  CHG (was 50)
3097 |   270    880 |  273    830 0 3 1 |  -3   +50  CHG (was -50)
3098 |   273    830 |  276    880 0 3 1 |  -3   -50  CHG (was 50)
3099 |   277    880 |  280    830 0 3 1 |  -3   +50  CHG (was -50)
3100 |   280    830 |  283    880 0 3 1 |  -3   -50  CHG (was 50)
3101 |   283    880 |  285   -720 0 3 1 |  -2 +1600  CHG (was -50)
3102 |   285   -720 |  283   -670 0 3 1 |  +2   -50  CHG (was 1600)
3134 |   299    880 |  302    830 0 3 1 |  -3   +50  CHG (was -50)
3135 |   302    830 |  305    880 0 3 1 |  -3   -50  CHG (was 50)
3136 |   305    880 |  308    830 0 3 1 |  -3   +50  CHG (was -50)
3137 |   309    830 |  312    880 0 3 1 |  -3   -50  CHG (was 50)
3138 |   312    880 |  315    830 0 3 1 |  -3   +50  CHG (was -50)
3139 |   315    830 |  318   -720 0 3 1 |  -3 +1550  CHG (was 50)
3140 |   319   -720 |  316   -670 0 3 1 |  +3   -50  CHG (was 1550)
3143 |   311   -570 |  309   -720 0 3 1 |  +2  +150  CHG (was -50)
3144 |   309   -720 |  307   -670 0 3 1 |  +2   -50  CHG (was 150)
3145 |   307   -670 |  304   -720 0 3 1 |  +3   +50  CHG (was -50)
3146 |   304   -720 |  301   -670 0 3 1 |  +3   -50  CHG (was 50)
3149 |   297   -570 |  295   -720 0 3 1 |  +2  +150  CHG (was -50)
3150 |   295   -720 |  292   -670 0 3 1 |  +3   -50  CHG (was 150)
3160 |   278   -220 |  277   -720 0 3 1 |  +1  +500  CHG (was -50)
3161 |   277   -720 |  274   -670 0 3 1 |  +3   -50  CHG (was 500)
3162 |   274   -670 |  272   -720 0 3 1 |  +2   +50  CHG (was -50)
3163 |   272   -720 |  269   -670 0 3 1 |  +3   -50  CHG (was 50)
3166 |   265   -570 |  262   -720 0 3 1 |  +3  +150  CHG (was -50)
3167 |   263   -720 |  260   -670 0 3 1 |  +3   -50  CHG (was 150)
3172 |   251   -470 |  246  -1142 0 6 1 |  +5  +672  CHG (was -50)
3173 |   244  -1762 |  240  -1142 0 6 1 |  +4  -620  CHG (was 672)
3174 |   238  -1142 |  248   2130 0 6 1 | -10 -3272  CHG (was -620)
3175 |   245   2130 |  255   2130 0 6 1 | -10    +0  CHG (was -3272)
3177 |   260   1142 |  253  -2130 0 6 1 |  +7 +3272  CHG (was 0)
3178 |   249  -1142 |  244  -2130 0 6 1 |  +5  +988  CHG (was 3272)
3179 |   238  -1142 |  251   2130 0 6 1 | -13 -3272  CHG (was 988)
3180 |   245   1142 |  258   2130 0 6 1 | -13  -988  CHG (was -3272)
3183 |   266   1142 |  264  -2130 0 6 1 |  +2 +3272  CHG (was -988)
3184 |   260  -1142 |  271   2130 0 6 1 | -11 -3272  CHG (was 3272)
3185 |   267   1142 |  278   2130 0 6 1 | -11  -988  CHG (was -3272)
3186 |   275   1142 |  269  -2130 0 6 1 |  +6 +3272  CHG (was -988)
3187 |   266  -1142 |  260  -2130 0 6 1 |  +6  +988  CHG (was 3272)
3189 |   248  -1142 |  258   2130 0 6 1 | -10 -3272  CHG (was 988)
3190 |   257   1142 |  265   2130 0 6 1 |  -8  -988  CHG (was -3272)
3191 |   262   1142 |  256  -2130 0 6 1 |  +6 +3272  CHG (was -988)
3192 |   253  -1142 |  263   2130 0 6 1 | -10 -3272  CHG (was 3272)
3193 |   262   1142 |  270   2130 0 6 1 |  -8  -988  CHG (was -3272)
3195 |   279   1142 |  270  -2130 0 6 1 |  +9 +3272  CHG (was -988)
3196 |   270  -1142 |  279   2130 0 6 1 |  -9 -3272  CHG (was 3272)
3197 |   279   1142 |  270  -2130 0 6 1 |  +9 +3272  CHG (was -3272)
3198 |   275  -1142 |  279   2130 0 6 1 |  -4 -3272  CHG (was 3272)
3199 |   284   1142 |  270  -2130 0 6 1 | +14 +3272  CHG (was -3272)
3200 |   275  -1142 |  279   2130 0 6 1 |  -4 -3272  CHG (was 3272)
3201 |   284   1142 |  270  -2130 0 6 1 | +14 +3272  CHG (was -3272)
3202 |   275  -1142 |  279   2130 0 6 1 |  -4 -3272  CHG (was 3272)
3203 |   284   1142 |  270  -2130 0 6 1 | +14 +3272  CHG (was -3272)
3204 |   275  -1142 |  279   2130 0 6 1 |  -4 -3272  CHG (was 3272)
3205 |   279   1142 |  270  -2130 0 6 1 |  +9 +3272  CHG (was -3272)
3206 |   270  -1142 |  279   2130 0 6 1 |  -9 -3272  CHG (was 3272)
3207 |   279   1142 |  270  -2130 0 6 1 |  +9 +3272  CHG (was -3272)
3208 |   270  -1142 |  279   2130 0 6 1 |  -9 -3272  CHG (was 3272)
3209 |   279   1142 |  270  -2130 0 6 1 |  +9 +3272  CHG (was -3272)
3210 |   270  -1142 |  262  -2130 0 6 1 |  +8  +988  CHG (was 3272)
3211 |   262  -1142 |  270   2130 0 6 1 |  -8 -3272  CHG (was 988)
3212 |   266   1142 |  279   2130 0 6 1 | -13  -988  CHG (was -3272)
3213 |   275   1142 |  270  -2130 0 6 1 |  +5 +3272  CHG (was -988)
3214 |   266  -1142 |  262  -2130 0 6 1 |  +4  +988  CHG (was 3272)
3215 |   257  -1142 |  270   2130 0 6 1 | -13 -3272  CHG (was 988)
3216 |   266   1142 |  262  -2130 0 6 1 |  +4 +3272  CHG (was -3272)
3217 |   257  -1142 |  254  -2130 0 6 1 |  +3  +988  CHG (was 3272)
3218 |   248  -1142 |  262   2130 0 6 1 | -14 -3272  CHG (was 988)
3219 |   253   1142 |  254  -2130 0 6 1 |  -1 +3272  CHG (was -3272)
3220 |   239  -1142 |  245  -2130 0 6 1 |  -6  +988  CHG (was 3272)
3225 |   199  -1142 |  220   2130 0 6 1 | -21 -3272  CHG (was 988)
3226 |   204   1142 |  212  -2130 0 6 1 |  -8 +3272  CHG (was -3272)
